
id,name,nomen,sex,parent
1204,MANL1204 L. Manlius (47) Acidinus Fulvianus,Manlius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,958
1337,VETU1337 Ti. Veturius (23) Gracchus Sempronianus,Veturius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,1031
1422,FABI1422 Q. Fabius (109) Q. f. Q. n. Maximus Aemilianus,Fabius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,1209
1500,LICI1500 P. Licinius (72) P. f. P. n. Crassus Dives Mucianus,Licinius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4889
1504,CORN1504 P. Cornelius (335) P. f. P. n. Scipio Africanus Aemilianus,Cornelius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,1285
1545,FABI1545 Q. Fabius (115) Q. f. Q. n. Maximus Servilianus,Fabius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,1209
1566,IUNI1566 D. Iunius (161) Silanus Manlianus,Iunius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,1543
1865,AEMI1865 Mam. Aemilius (80) Mam. f. Lepidus Livianus,Aemilius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,1626
1940,MARI1940 M. Marius (42) Cor. Gratidianus,Marius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,1778
1966,IUNI1966 M. Iunius (170) Silanus,Iunius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,885
1974,PUPI1974 M. Pupius (10) M. f. Piso Frugi Calpurnianus,Pupius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4055
2023,IUNI2023 D. Iunius (46) D. f. M. n. Brutus,Iunius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,1728
2027,VISE2027 C. Visellius (3) C. f. Qui. Varro,Visellius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4036
2032,AUFI2032 Cn. Aufidius (32) Cn. f. Orestes,Aufidius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,1741
2040,CAEC2040 Q. Caecilius (86) Q. f. Q. or L.? n. Metellus Celer,Caecilius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,1875
2045,AELI2045 C. Aelius (98) Paetus = C. Staienus (3A.2133),Aelius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4034
2064,CORN2064 Cn. Cornelius (216) Cn. f. Cn. n. Lentulus Clodianus,Cornelius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,1792
2211,HOST2211 L. Hostilius (13) (Dasianus),Hostilius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4822
2219,CLOD2219 P. Clodius (48) Ap. f. Pal. Pulcher,Clodius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3936
2287,POMP2287 Q. Pompeius (42) Q. f. Arn. Rufus,Pompeius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,1805
2294,ATIL2294 Sex. Atilius (70) Serranus Gavianus,Atilius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4137
2338,CORN2338 Cn. Cornelius (217) Lentulus Clodianus,Cornelius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,2064
2347,CAEC2347 Q. Caecilius (99) Q. f. Q. n. Fab. Metellus Pius Scipio = P. Cornelius (352) Scipio Nasica,Caecilius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,1889
2381,ANNI2381 T. Annius (67) Mae. Milo = T. Papius Milo,Annius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3925
2394,CORN2394 P. Cornelius (239) P. f. Lentulus Spinther,Cornelius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,2205
2408,COEL2408 M. Coelius (27) Vinicianus,Coelius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,5173
2456,"LICI2456 P. Licinius (65, 75) Crassus Iunianus Damasippus = P.? Iunius Brutus Damasippus",Licinius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3955
2459,IUNI2459 M. Iunius (53) M. f. Brutus = Q. Servilius Caepio Brutus,Iunius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3917
2466,MINU2466 L. Minucius (38) Vel. Basilus = M. Satrius (1),Minucius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,1934
2489,"IUNI2489 D. Iunius (55a, Supb. 5.369) D. f. D. n. Brutus Albinus",Iunius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,1728
2495,VIBI2495 C. Vibius (16) C. f. C. n. Tro. Pansa Caetronianus,Vibius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3526
2502,LUCI2502 Sex. Lucilius (16),Lucilius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3983
2515,CORN2515 P. Cornelius (141) P. f. Dolabella = P. Cornelius Lentulus,Cornelius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3986
2515,CORN2515 P. Cornelius (141) P. f. Dolabella = P. Cornelius Lentulus,Cornelius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4185
2520,LIVI2520 M. Livius (19) Drusus (Claudianus),Livius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,1756
2568,RABI2568 C. Rabirius (Curtius) (6) C. f. Postumus,Rabirius (Curtius),http://romanrepublic.ac.uk/rdf/entity/Sex/Male,1912
2581,TERE2581 A. Terentius (91) Varro Murena,Terentius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,2001
2597,IULI2597 C. Iulius (132) C. f. C. n. Fab. Caesar Octavianus = C. Octavius C. f. Sca. Thurinus (or Caepias),Iulius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,1957
2819,CORN2819 L. Cornelius (69) L. f. Clu. Balbus,Cornelius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3985
2823,SEMP2823 L. Sempronius (26) L. f. L. n. Fal. Atratinus,Sempronius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4041
3150,CAEC3150 -. Caecilius (Bucilianus 1) Bucilianus,Caecilius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3872
3430,"CLAU3430 Ap. Claudius (299, cf. 15) Pulcher",Claudius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,2140
3869,CORN3869 L. Cornelius (327) Scipio Asiagenus Aemilianus,Cornelius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,1882
3888,MUNA3888 C. Munatius (26) Plancus,Munatius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4962
3921,CLAU3921 C. Claudius (C) Pulcher,Claudius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,2140
3950,CLAU3950 Ti. Claudius (Iulius 154) Nero,Claudius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,2597
3950,CLAU3950 Ti. Claudius (Iulius 154) Nero,Claudius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4325
3965,POMP3965 T. Pomponius (102) Atticus,Pomponius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3979
3970,ATIL3970 Sex. Atilius (71) Serranus,Atilius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4137
4028,LICI4028 L.? Licinius (76) Crassus Scipio,Licinius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,1679
4073,VALG4073 C. Valgius (6) Hippianus,Valgius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4966
4094,MARI4094 M. Marius (A) Gratidianus,Marius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,1778
4104,GRAT4104 M. Gratidius (A) Cor.,Gratidius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,1778
4194,CLAU4194 -. Claudius (139) Drusus,Claudius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,2597
