
childid,parentid
1204,958
1337,1031
1422,1209
1500,4889
1504,1285
1545,1209
1566,1543
1865,1626
1940,1778
1966,885
1974,4055
2023,1728
2027,4036
2032,1741
2040,1875
2045,4034
2064,1792
2211,4822
2219,3936
2287,1805
2294,4137
2338,2064
2347,1889
2381,3925
2394,2205
2408,5173
2456,3955
2459,3917
2466,1934
2489,1728
2495,3526
2502,3983
2515,3986
2515,4185
2520,1756
2568,1912
2581,2001
2597,1957
2819,3985
2823,4041
3150,3872
3430,2140
3869,1882
3888,4962
3921,2140
3950,2597
3950,4325
3965,3979
3970,4137
4028,1679
4073,4966
4094,1778
4104,1778
4194,2597
4196,2234
4217,1031
4294,2520
4311,1756
4315,2536
4329,2429
4349,4348
4356,4743
4372,4834
4755,827
4847,4848
4941,2860
