
childid,parentid
1006,1074
1007,1008
1007,1071
1008,1007
1008,1071
1010,857
1011,982
1016,878
1023,877
1023,903
1023,985
1023,986
1028,4298
1032,1095
1034,914
1035,1163
1036,957
1060,1192
107,91
107,97
1071,1007
1071,1008
1074,1006
1077,1090
1077,3860
1090,1077
1090,3860
1095,1032
110,127
1100,1103
1100,1151
1100,1370
1100,1413
1103,1100
1103,1151
1103,1370
1103,1413
1109,1200
1109,1232
1109,4873
1118,1125
1118,1191
1118,4220
1123,4818
1125,1118
1125,1191
1125,4220
113,141
1131,1132
1132,1131
1134,3945
1134,4755
114,142
1140,1187
1140,1228
1143,1170
1151,1100
1151,1103
1151,1370
1151,1413
1163,1035
1169,1274
1170,1143
1172,1251
1172,1278
1175,1185
1178,1194
1178,1483
1178,1561
1178,1575
1180,1553
1180,1626
1180,4706
1180,4707
1182,1337
1182,4217
1185,1175
1187,1140
1187,1228
1191,1118
1191,1125
1191,4220
1192,1060
1194,1178
1194,1483
1194,1561
1194,1575
1200,1109
1200,1232
1200,4873
1204,1242
1204,1247
1204,3693
1216,1217
1217,1216
122,153
1223,1326
1228,1140
1228,1187
1232,1109
1232,1200
1232,4873
1237,1455
1237,4225
1242,1204
1242,1247
1242,3693
1245,1277
1247,1204
1247,1242
1247,3693
1248,1369
125,126
1251,1172
1251,1278
1259,3359
126,125
1265,1454
127,110
1272,1357
1274,1169
1277,1245
1278,1172
1278,1251
1283,1284
1283,1328
1283,1563
1284,1283
1284,1328
1284,1563
1285,1309
1285,1331
1285,3946
1285,4228
1288,1289
1289,1288
1290,1481
13,3
13,37
13,60
1304,1439
1309,1285
1309,1331
1309,3946
1309,4228
1321,1354
1321,4875
1326,1223
1328,1283
1328,1284
1328,1563
1331,1285
1331,1309
1331,3946
1331,4228
1337,1182
1337,4217
1354,1321
1354,4875
1357,1272
1367,1392
1369,1248
1370,1100
1370,1103
1370,1151
1370,1413
1384,1442
1392,1367
1395,4879
141,113
1413,1100
1413,1103
1413,1151
1413,1370
142,114
1422,1504
1422,4020
1422,4022
1422,4051
1424,1544
1433,3369
1439,1304
1442,1384
1447,1480
1454,1265
1455,1237
1455,4225
1461,3602
1465,1474
1474,1465
1480,1447
1481,1290
1483,1178
1483,1194
1483,1561
1483,1575
1486,1537
1492,1815
1492,4886
1495,1542
1499,1572
1500,1567
1503,1569
1504,1422
1504,4020
1504,4022
1504,4051
1525,1598
1525,4091
153,122
1533,1565
1534,1543
1537,1486
1542,1495
1543,1534
1544,1424
1545,1552
1545,1556
1547,4048
1550,1655
1550,4307
1551,4903
1552,1545
1552,1556
1553,1180
1553,1626
1553,4706
1553,4707
1556,1545
1556,1552
1561,1178
1561,1194
1561,1483
1561,1575
1563,1283
1563,1284
1563,1328
1565,1533
1566,3364
1566,4878
1567,1500
1569,1503
1572,1499
1574,1632
1575,1178
1575,1194
1575,1483
1575,1561
1576,1581
1581,1576
1590,1601
1591,1602
1595,1714
1596,3991
1596,4881
1598,1525
1598,4091
1599,1560
1599,1753
1599,1807
1599,3864
1599,4056
1601,1590
1602,1591
1607,1617
1607,3405
1617,1607
1617,3405
1623,1689
1623,1696
1626,1180
1626,1553
1626,4706
1626,4707
1627,4038
1629,4156
163,4897
1631,1883
1631,4210
1632,1574
1635,1665
1635,1677
1635,1701
1635,4029
1635,4054
1637,4214
1637,4876
1642,3201
1642,4101
1649,1693
1649,3947
1651,4021
1651,4245
1652,4887
1655,1550
1655,4307
1656,1682
1660,1778
1660,4099
1660,4820
1662,1718
1665,1635
1665,1677
1665,1701
1665,4029
1665,4054
1675,3225
1677,1635
1677,1665
1677,1701
1677,4029
1677,4054
1682,1656
1686,1687
1687,1686
1689,1623
1689,1696
1693,1649
1693,3947
1696,1623
1696,1689
1701,1635
1701,1665
1701,1677
1701,4029
1701,4054
1703,1728
1714,1595
1715,1762
1715,1801
1718,1662
1728,1703
1740,4359
1746,4280
1748,3226
1748,3238
1749,4710
1751,3939
1753,1560
1753,1599
1753,1807
1753,3864
1753,4056
1756,1865
1756,3949
1762,1715
1762,1801
1763,1816
1763,3919
1766,3383
1767,3385
1778,1660
1778,4099
1778,4820
1779,1814
1779,1999
1779,3608
1783,2262
1783,2300
1783,3920
1783,3937
1783,4284
1786,4027
1787,4052
1791,1979
1796,4172
1798,1825
1799,1828
1799,3948
1801,1715
1801,1762
1802,1821
1805,4035
1806,1841
1807,1560
1807,1599
1807,1753
1807,3864
1807,4056
1814,1779
1814,1999
1814,3608
1815,1492
1815,4886
1816,1763
1816,3919
1821,1802
1822,4429
1825,1798
1828,1799
1828,3948
1829,3384
1836,4759
1841,1806
1843,2011
1843,4917
1850,3520
1851,3780
1851,4025
1865,1756
1865,3949
1866,2026
1866,2163
1873,3018
1883,1631
1883,4210
1885,1900
1886,4907
1896,1974
1898,2020
1900,1885
1901,2009
1902,3971
1903,1982
1903,3918
1903,4103
1912,4131
1930,4910
1933,1940
1933,4094
1933,4104
1933,4105
1934,3704
1934,4911
1939,1985
1939,3281
1939,4440
1939,4498
1940,1933
1940,4094
1940,4104
1940,4105
1942,2222
1946,1996
1947,3552
1949,4049
1957,3885
1957,4184
196,4891
1960,2033
1960,3707
1965,2202
1969,2077
1969,4095
1974,1896
1976,3968
1976,4062
1979,1791
1981,3868
1981,4000
1982,1903
1982,3918
1982,4103
1985,1939
1985,3281
1985,4440
1985,4498
1991,2264
1996,1946
1998,3880
1998,4265
1999,1779
1999,1814
1999,3608
2009,1901
2011,1843
2011,4917
2020,1898
2023,3862
2023,3863
2023,4023
2023,4270
2026,1866
2026,2163
2028,2263
2033,1960
2033,3707
2040,2247
2044,3878
2062,2140
2062,2219
2062,4043
2062,4097
2062,4197
2064,2176
2071,2082
2072,2216
2075,3776
2075,5034
2077,1969
2077,4095
2078,2150
2078,2175
2078,3045
2082,2071
2085,2301
2087,3234
2088,2182
209,213
213,209
214,311
214,329
2140,2062
2140,2219
2140,4043
2140,4097
2140,4197
2150,2078
2150,2175
2150,3045
2163,1866
2163,2026
2175,2078
2175,2150
2175,3045
2176,2064
2182,2088
2184,3653
2191,3908
22,79
22,5032
2216,2072
2219,2062
2219,2140
2219,4043
2219,4097
2219,4197
2222,1942
2241,3870
2241,3917
2241,3958
2241,4012
2241,4259
2247,2040
2253,2254
2253,3934
2253,3935
2254,2253
2254,3934
2254,3935
2261,4295
2262,1783
2262,2300
2262,3920
2262,3937
2262,4284
2263,2028
2264,1991
2282,3879
2284,4159
2290,2356
2291,4065
23,55
2300,1783
2300,2262
2300,3867
2300,3920
2300,3937
2300,4284
2301,2085
2303,2567
231,254
231,303
231,5029
2328,2372
2340,3190
2341,2350
2341,3869
2341,4001
2341,4063
2344,4147
2344,4157
2347,4028
2350,2341
2350,3869
2350,4001
2350,4063
2356,2290
2372,2328
2373,4053
2374,2559
2374,4186
2376,2542
2376,3952
