
id,name,nomen,sex,parent
60,VALE0060  Valeria (385),Valeria,http://romanrepublic.ac.uk/rdf/entity/Sex/Female,4883
291,POST0291  Postumia (66),Postumia,http://romanrepublic.ac.uk/rdf/entity/Sex/Female,249
1560,CLAU1560  Claudia (384),Claudia,http://romanrepublic.ac.uk/rdf/entity/Sex/Female,1452
1560,CLAU1560  Claudia (384),Claudia,http://romanrepublic.ac.uk/rdf/entity/Sex/Female,4288
1646,LICI1646  Licinia (181) C. f.,Licinia,http://romanrepublic.ac.uk/rdf/entity/Sex/Female,1547
2197,PUBL2197  Publicia (27),Publicia,http://romanrepublic.ac.uk/rdf/entity/Sex/Female,4232
2197,PUBL2197  Publicia (27),Publicia,http://romanrepublic.ac.uk/rdf/entity/Sex/Female,4970
2202,FONT2202  Fonteia (31),Fonteia,http://romanrepublic.ac.uk/rdf/entity/Sex/Female,1884
3860,CORN3860  Cornelia (405),Cornelia,http://romanrepublic.ac.uk/rdf/entity/Sex/Female,817
3861,MARC3861  Marcia (112),Marcia,http://romanrepublic.ac.uk/rdf/entity/Sex/Female,681
3862,IUNI3862  Iunia (A),Iunia,http://romanrepublic.ac.uk/rdf/entity/Sex/Female,1565
3862,IUNI3862  Iunia (A),Iunia,http://romanrepublic.ac.uk/rdf/entity/Sex/Female,3996
3863,LICI3863  Licinia (180),Licinia,http://romanrepublic.ac.uk/rdf/entity/Sex/Female,1500
3863,LICI3863  Licinia (180),Licinia,http://romanrepublic.ac.uk/rdf/entity/Sex/Female,3996
3864,CLAU3864  Claudia (385),Claudia,http://romanrepublic.ac.uk/rdf/entity/Sex/Female,1452
3864,CLAU3864  Claudia (385),Claudia,http://romanrepublic.ac.uk/rdf/entity/Sex/Female,4288
3867,CORN3867  Cornelia (412),Cornelia,http://romanrepublic.ac.uk/rdf/entity/Sex/Female,1746
3867,CORN3867  Cornelia (412),Cornelia,http://romanrepublic.ac.uk/rdf/entity/Sex/Female,4286
3870,SERV3870  Servilia (101),Servilia,http://romanrepublic.ac.uk/rdf/entity/Sex/Female,1796
3870,SERV3870  Servilia (101),Servilia,http://romanrepublic.ac.uk/rdf/entity/Sex/Female,3949
3873,CORN3873  Cornelia (413),Cornelia,http://romanrepublic.ac.uk/rdf/entity/Sex/Female,1871
3873,CORN3873  Cornelia (413),Cornelia,http://romanrepublic.ac.uk/rdf/entity/Sex/Female,4359
3874,IULI3874  Iulia (547),Iulia,http://romanrepublic.ac.uk/rdf/entity/Sex/Female,1957
3874,IULI3874  Iulia (547),Iulia,http://romanrepublic.ac.uk/rdf/entity/Sex/Female,3873
3876,CALP3876  Calpurnia (126),Calpurnia,http://romanrepublic.ac.uk/rdf/entity/Sex/Female,2168
3876,CALP3876  Calpurnia (126),Calpurnia,http://romanrepublic.ac.uk/rdf/entity/Sex/Female,3927
3877,POMP3877  Pompeia (52),Pompeia,http://romanrepublic.ac.uk/rdf/entity/Sex/Female,3866
3877,POMP3877  Pompeia (52),Pompeia,http://romanrepublic.ac.uk/rdf/entity/Sex/Female,3867
3878,IULI3878  Iulia (543),Iulia,http://romanrepublic.ac.uk/rdf/entity/Sex/Female,1825
3878,IULI3878  Iulia (543),Iulia,http://romanrepublic.ac.uk/rdf/entity/Sex/Female,3993
3880,SERG3880  Sergia (50),Sergia,http://romanrepublic.ac.uk/rdf/entity/Sex/Female,3939
3880,SERG3880  Sergia (50),Sergia,http://romanrepublic.ac.uk/rdf/entity/Sex/Female,4784
3882,CORN3882  Cornelia (417),Cornelia,http://romanrepublic.ac.uk/rdf/entity/Sex/Female,2347
3882,CORN3882  Cornelia (417),Cornelia,http://romanrepublic.ac.uk/rdf/entity/Sex/Female,4262
3883,MARC3883  Marcia (115),Marcia,http://romanrepublic.ac.uk/rdf/entity/Sex/Female,2303
3884,ATIA3884  Atia (34) maior,Atia,http://romanrepublic.ac.uk/rdf/entity/Sex/Female,2329
3884,ATIA3884  Atia (34) maior,Atia,http://romanrepublic.ac.uk/rdf/entity/Sex/Female,4184
3885,IULI3885  Iulia (545),Iulia,http://romanrepublic.ac.uk/rdf/entity/Sex/Female,1799
3885,IULI3885  Iulia (545),Iulia,http://romanrepublic.ac.uk/rdf/entity/Sex/Female,4258
3890,PORC3890  Porcia (28),Porcia,http://romanrepublic.ac.uk/rdf/entity/Sex/Female,2241
3890,PORC3890  Porcia (28),Porcia,http://romanrepublic.ac.uk/rdf/entity/Sex/Female,4260
3892,TURR3892  Turrania (14),Turrania,http://romanrepublic.ac.uk/rdf/entity/Sex/Female,2669
3893,FULV3893  Fulvia (113),Fulvia,http://romanrepublic.ac.uk/rdf/entity/Sex/Female,3907
3893,FULV3893  Fulvia (113),Fulvia,http://romanrepublic.ac.uk/rdf/entity/Sex/Female,4109
3894,IULI3894  Iulia (544),Iulia,http://romanrepublic.ac.uk/rdf/entity/Sex/Female,1798
