
id,name,nomen,sex,exspouse
1134,AEMI1134 L. Aemilius (114) L. f. M. n. Paullus Macedonicus,Aemilius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4201
1746,CORN1746 L. Cornelius (392) L. f. P. n. Sulla Felix ('Epaphroditus'),Cornelius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4285
1746,CORN1746 L. Cornelius (392) L. f. P. n. Sulla Felix ('Epaphroditus'),Cornelius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4287
1903,LICI1903 L. Licinius (104) L. f. L. n. Lucullus Ponticus,Licinius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3958
1903,LICI1903 L. Licinius (104) L. f. L. n. Lucullus Ponticus,Licinius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4097
1957,IULI1957 C. Iulius (131) C. f. C. n. Fab. Caesar,Iulius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3877
1974,PUPI1974 M. Pupius (10) M. f. Piso Frugi Calpurnianus,Pupius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4359
1976,POMP1976 Cn. Pompeius (31) Cn. f. Sex. n. Clu. Magnus,Pompeius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3908
1976,POMP1976 Cn. Pompeius (31) Cn. f. Sex. n. Clu. Magnus,Pompeius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4277
1993,AEMI1993 M. Aemilius (72) Q. f. M. n. Pal. Lepidus,Aemilius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4242
2072,TULL2072 M. Tullius (29) M. f. M. n. Cor. Cicero,Tullius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3940
2072,TULL2072 M. Tullius (29) M. f. M. n. Cor. Cicero,Tullius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4004
2216,TULL2216 Q. Tullius (31) M. f. M. n. Cor. Cicero,Tullius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3966
2241,PORC2241 M. Porcius (16) M. f. M. n. Pap. Cato (Uticensis),Porcius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4260
2261,MEMM2261 C. Memmius (8),Memmius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3920
2392,ANTO2392 M. Antonius (30) M. f. M. n.,Antonius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3909
2392,ANTO2392 M. Antonius (30) M. f. M. n.,Antonius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4110
2394,CORN2394 P. Cornelius (239) P. f. Lentulus Spinther,Cornelius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3988
