
parentid,childid
1006,1312
1009,1363
1016,1415
1020,1355
1023,1362
1025,1353
1032,1295
1035,1409
1041,1237
1041,1455
1041,4225
1060,1336
1062,3359
1063,1270
1064,1259
1064,3359
1067,1180
1067,1553
107,243
1077,1396
1079,1290
1079,1481
1084,3239
1084,3638
1085,1390
1090,1506
1092,1521
1100,1515
1102,1434
1105,1487
1106,1139
1109,1248
1109,1369
1110,1366
1111,1657
1114,1484
1117,4809
1118,1599
1125,1452
1131,1533
1131,1565
1134,1422
1134,1504
1134,4020
1134,4022
1134,4051
1139,1387
114,285
1141,1511
1154,1271
1170,1406
1172,1420
1173,4037
1178,1441
1180,1626
1180,4706
1182,1525
1182,1598
1182,4091
1183,1486
1183,1537
1187,1499
1187,1572
1192,1417
1194,1581
1198,1485
1201,1460
1204,1370
1204,1413
1205,1403
1216,1495
1216,1542
1222,1483
1222,1561
1222,1575
1223,4281
1224,1514
1225,1383
1239,1373
124,214
124,311
124,329
1242,1576
1244,1461
1244,3602
1245,3491
1247,1624
1248,3694
1253,1306
1260,1485
1265,1642
1265,3201
1266,2973
1266,4958
1270,1650
1275,1503
1275,1569
1283,1563
1285,3133
1288,1500
1288,1567
1289,1613
1291,1545
1291,1552
1291,1556
13,22
13,79
13,5032
1304,1583
1321,1637
1321,4214
1321,4876
1322,3770
1323,1573
1324,3998
1325,4085
1327,3200
1328,1590
1328,1601
1332,1573
1353,1638
1354,1547
1354,4048
1356,1607
1356,1617
1356,3405
1362,1631
1362,1883
1362,4210
1363,3098
1366,1630
1377,3168
138,246
138,4936
1384,1566
1384,3364
1384,4878
1395,1621
1396,1513
1397,1596
1397,3991
1397,4881
1403,4787
1404,1616
1405,1666
1406,1800
1411,1623
1411,1689
1411,1696
1412,1558
1415,4757
1415,4866
1417,1662
1417,1718
142,231
142,254
142,303
142,5029
1420,1703
1420,1728
1422,1594
1424,1635
1424,1665
1424,1677
1424,1701
1424,4029
1424,4054
1426,1600
1429,1622
143,173
1433,1656
1433,1682
1439,1583
1442,4885
1443,1705
1447,1643
1449,1636
1452,1560
1452,1599
1452,1753
1452,1807
1452,3864
1452,4056
1454,1642
1454,4101
1456,1596
1460,1888
1461,4039
1464,1727
1466,1492
1466,1815
1466,4886
1468,1627
1468,4038
1471,1553
1471,1626
1471,4707
1474,3363
1475,1652
1475,4887
1476,1639
1480,1643
1483,1712
1484,1759
1485,1648
149,238
1492,1815
1494,1680
1495,4204
1495,4888
1500,3863
1500,4023
1500,4270
1502,5037
1506,1732
1510,1713
1513,1695
1519,1651
1519,4021
1519,4245
1520,1788
1521,1548
1523,2340
1523,3190
1524,3915
1524,3969
1525,4169
1525,4890
1525,5007
153,196
153,4891
1533,4046
1544,1649
1544,1693
1544,3947
1545,1615
1547,1646
1547,4171
1548,3923
1548,3960
1550,1655
1550,4307
1551,1805
1551,4035
1552,1755
1556,1629
1556,4156
1557,1776
1558,3372
1563,3790
1565,2023
1565,3862
1566,885
1566,4819
1567,1692
1572,1730
1573,3603
1575,1797
1583,1715
1583,1762
1583,1801
1589,3175
1589,3553
1590,1748
1590,3226
1590,3238
1591,4235
1594,4142
1598,4268
1598,4269
1599,3167
1600,1826
1613,4031
1613,4032
1614,1757
1616,1740
1616,4359
1617,1873
1617,3018
1620,1871
1621,4895
1623,1835
1624,3865
1624,3993
1627,1749
1627,4710
1629,1796
1629,4172
1630,1763
1630,1816
1630,3919
1631,1883
1631,4210
1632,2970
1633,3492
1634,1842
1635,1787
1635,4052
1636,3825
1637,1780
1639,3126
1639,4896
1645,1783
1645,2262
1645,3937
1648,1774
1649,3929
1650,2119
1651,1756
1651,1865
1651,3949
1655,2151
1656,1831
1657,1876
1660,1983
1662,1850
1662,3520
1663,4278
1665,1875
1666,1811
1667,3135
1670,1902
1670,3971
1675,1767
1675,3385
1679,4005
1679,4030
1682,1831
1689,1843
1689,2011
169,297
1692,2191
1692,3908
1693,1889
1695,1836
1695,4759
1696,2011
1696,4917
1701,2078
1701,2150
1701,2175
1701,3045
1703,3391
1704,2042
1705,1969
1705,2077
1705,4095
1712,1795
1713,1896
1713,1974
1714,1898
1714,2020
1715,2050
1716,1902
1716,3971
1718,2316
173,239
173,241
173,328
1730,4137
1731,1949
1731,4049
1743,1946
1743,1996
1744,3127
1744,3129
1746,2300
1746,3867
1746,3920
1746,4284
1749,2032
1753,4311
1753,4760
1755,3992
1757,4686
1759,1903
1759,1982
1759,3918
1763,1991
1763,2264
1764,2303
1764,2567
1767,1976
1767,3968
1767,4062
1779,3517
1780,1981
1780,3868
1780,4000
1781,2075
1781,3776
1781,5034
1784,1851
1784,3780
