
id,name,nomen,birth,death
60,VALE0060  Valeria (385),Valeria,-525,-425
84,"OPPI0084  Oppia (36, cf. Opimia 13)",Oppia,-500,-483
112,ORBI0112  Orbinia (RE 18.1.877),Orbinia,-500,-472
291,POST0291  Postumia (66),Postumia,-475,-350
545,MINU0545  Minucia (68),Minucia,-350,-337
693,SEXT0693  Sextilia (31),Sextilia,-300,-273
802,TUCC0802  Tuccia (or Luccia) (12),Tuccia (or Luccia),-275,-175
893,FLOR0893  Floronia (1),Floronia,-250,-216
894,OPIM0894  Opimia (14),Opimia,-250,-216
1560,CLAU1560  Claudia (384),Claudia,-160,-75
1646,LICI1646  Licinia (181) C. f.,Licinia,-140,-113
1698,AEMI1698  Aemilia (153),Aemilia,-140,-114
1700,MARC1700  Marcia (114),Marcia,-150,-113
2121,FABI2121  Fabia (172),Fabia,-100,0
2122,LICI2122  Licinia (185),Licinia,-100,0
2197,PUBL2197  Publicia (27),Publicia,-100,0
2199,ARRU2199  Arruntia (27),Arruntia,-100,0
2200,PERP2200  Perpennia (8),Perpennia,-100,0
2201,POPI2201  Popillia (34),Popillia,-100,0
2202,FONT2202  Fonteia (31),Fonteia,-100,0
2857,OCCI2857  Occia (3),Occia,-39,19
3132,AEMI3132  Aemilia (1),Aemilia,-209,-125
3860,CORN3860  Cornelia (405),Cornelia,-225,-125
3861,MARC3861  Marcia (112),Marcia,-300,-200
3862,IUNI3862  Iunia (A),Iunia,-150,-50
3863,LICI3863  Licinia (180),Licinia,-150,-50
3864,CLAU3864  Claudia (385),Claudia,-150,-50
3867,CORN3867  Cornelia (412),Cornelia,-125,-25
3870,SERV3870  Servilia (101),Servilia,-100,-25
3873,CORN3873  Cornelia (413),Cornelia,-150,-68
3874,IULI3874  Iulia (547),Iulia,-73,-54
3876,CALP3876  Calpurnia (126),Calpurnia,-100,0
3877,POMP3877  Pompeia (52),Pompeia,-150,-50
3878,IULI3878  Iulia (543),Iulia,-125,-25
3879,AURE3879  Aurelia (261) Orestilla,Aurelia,-150,-50
3880,SERG3880  Sergia (50),Sergia,-175,-50
3882,CORN3882  Cornelia (417),Cornelia,-75,25
3883,MARC3883  Marcia (115),Marcia,-75,25
3884,ATIA3884  Atia (34) maior,Atia,-125,-43
3885,IULI3885  Iulia (545),Iulia,-150,-50
3890,PORC3890  Porcia (28),Porcia,-125,-43
3892,TURR3892  Turrania (14),Turrania,-50,50
3893,FULV3893  Fulvia (113),Fulvia,-125,-40
3894,IULI3894  Iulia (544),Iulia,-100,0
3895,SULP3895  Sulpicia (112),Sulpicia,-75,25
3898,TANU3898  Tanusia (3),Tanusia,-100,0
3900,TURI3900  Turia (4),Turia,-100,-25
3901,IUNI3901  Iunia (193),Iunia,-75,25
3902,SCRI3902  Scribonia (31),Scribonia,-125,-36
3906,SCRI3906  Scribonia (32),Scribonia,-100,0
3907,SEMP3907  Sempronia (102) Tuditana,Sempronia,-175,-100
3908,MUCI3908  Mucia (28) Tertia,Mucia,-125,-25
3909,OCTA3909  Octavia (96) minor,Octavia,-100,0
