
id,name,nomen,birth,death
1,"IUNI0001 L. Iunius (46a, Supb. 5.356ff.) M. f. Brutus",Iunius,-540,-509
2,TARQ0002 L. Tarquinius (8) Egeri f. Collatinus,Tarquinius,-550,-450
3,VALE0003 P. Valerius (302) Volus. f. - n. Poplicola,Valerius,-550,-503
4,LUCR0004 Sp. Lucretius (30) T. ? f. - n. Tricipitinus,Lucretius,-550,-509
5,HORA0005 M. Horatius (15) M. f. - n. Pulvillus,Horatius,-550,-450
6,"MINU0006 M. Minucius (17, cf. 32) (Augurinus)",Minucius,-550,-450
7,VETU0007 P. (or C.) Veturius (16) Geminus Cicurinus,Veturius,-550,-425
8,PAPI0008 C. Papirius (10),Papirius,-550,-450
9,"PAPI0009 M'. Papirius (20, cf. 1-5)",Papirius,-550,-450
10,LUCR0010 T. Lucretius (31) T. f.  Tricipitinus,Lucretius,-550,-450
11,HERM0011 T. Herminius (2) Aquilinus,Herminius,-550,-499
12,LARC0012 Sp. Larcius (4) Rufus or Flavus,Larcius,-550,-425
13,VALE0013 M. Valerius (74) Volus. f. (Volusus),Valerius,-550,-499
14,LUCR0014 P. Lucretius (11),Lucretius,-550,-450
15,POST0015 P. Postumius (64) Q. f. - n. Tubertus,Postumius,-550,-425
17,LARC0017 T. Larcius (2) Flavus or Rufus,Larcius,-550,-425
18,MENE0018  Menenius (12) C. f. - n. Lanatus,Menenius,-550,-493
19,VERG0019 Opet. Verginius (17) Opit. f.  Tricostus,Verginius,-550,-425
20,CASS0020 Sp. Cassius (91) Vecellinus,Cassius,-550,-485
21,COMI0021 Post. Cominius (16) Auruncus,Cominius,-550,-425
22,VALE0022 M'. Valerius (65) M. f. Volus. n.,Valerius,-550,-450
23,SULP0023 Ser. Sulpicius (35) P. f. - n. Camerinus Cornutus,Sulpicius,-550,-463
24,TULL0024 M'. Tullius (41) Longus,Tullius,-550,-450
25,AEBU0025 T. Aebutius (15) T. f. - n. Helva,Aebutius,-550,-425
