
parentid,childid
2197,2416
2197,2664
2197,3938
291,415
3861,806
3863,4268
3863,4269
3864,4169
3864,4890
3864,5007
3867,2478
3867,3877
3870,2459
3870,3901
3870,3963
3870,3973
3873,3874
3878,2392
3878,2497
3878,2523
3878,4143
3883,4229
3883,4261
3883,4343
3884,2597
3884,3909
3885,2370
3890,2739
3893,3903
3893,3904
3893,3922
3893,4176
3893,4190
3894,3895
3901,3913
3902,3910
3906,4174
3906,4729
3906,4763
3906,4864
3907,3893
3908,2253
3908,2254
3908,3934
3908,3935
3909,3911
3909,3914
3909,4175
3909,4254
3909,4255
3914,4789
3915,2340
3915,3190
3920,2896
3924,2931
3924,4712
3926,2381
3927,3876
3927,4336
3928,3987
3928,3989
3929,2262
3929,2300
3929,3920
3929,3937
3933,2564
3933,3930
3933,4070
3934,2689
3934,4181
3937,4716
3939,1998
3939,3880
3939,4265
3940,2563
3940,3928
3942,757
3942,762
3943,727
3944,3369
3945,1285
3945,1309
3945,1331
3945,3946
3945,4228
3946,1525
3946,1598
3946,4091
3947,1903
3947,1982
3947,3918
3947,4103
3948,1983
3949,2241
3949,3870
3949,3917
3949,3958
3949,4012
3958,4080
3958,5012
3960,1902
3960,3971
3961,4318
3963,4256
3964,3980
3966,2632
3967,2168
3968,2439
3969,4031
3969,4032
3971,2536
3971,4282
3973,4304
3973,4932
3973,4971
3978,3965
3978,3966
3980,4179
3984,3671
3984,4164
3984,4461
3984,4791
3991,1866
3991,2026
3991,2163
3993,2044
3993,3878
3996,2023
3996,3862
3996,3863
3996,4023
3996,4270
3999,1981
3999,3868
3999,4000
4009,1731
4009,1798
4009,1825
4010,3304
4012,2699
4012,3970
4020,1656
4020,1682
4022,1622
4023,1850
4023,3520
4027,4082
4027,4093
4029,1836
4029,4759
4030,2347
4030,4028
4031,4005
4031,4030
4032,2119
4035,2170
4047,2027
4052,2062
4052,2140
4052,2219
4052,4043
4052,4097
4052,4197
4054,1779
4054,1814
4054,1999
4054,3608
4056,1764
4059,2235
4064,2291
4064,4065
4069,4333
4075,2729
4075,4135
4077,2396
4078,2072
4078,2216
4085,1992
4099,1769
4110,3912
4131,2445
4131,2568
4156,1949
4156,4049
4164,4165
4165,4739
4174,4297
4174,4828
4174,4947
4174,4948
4175,4693
4175,4740
4175,4741
4179,4785
4179,5010
4184,3884
4184,4830
4191,2758
4191,2802
4191,4249
4191,4292
4192,3950
4192,4194
4197,4921
4201,1422
4201,1504
4201,4020
4201,4022
4201,4051
4207,1976
4207,3968
4207,4062
4216,1178
4216,1194
4216,1483
4216,1561
4216,1575
4219,952
4220,4219
4228,1513
4232,2197
4241,1204
4241,1242
4241,1247
4241,3693
4242,2341
4242,2350
4242,4001
4246,878
4246,1016
4247,1433
4248,4313
4248,4356
4249,2803
4251,2639
4251,2927
4252,4251
4255,4840
4258,1957
4258,3885
4258,4184
4260,2754
4260,3890
4262,3882
4267,2328
4267,2372
4269,2489
4271,1660
4271,1778
4271,4099
4271,4820
4273,3271
4273,4152
4278,4277
4280,2010
4282,4284
4286,3867
4288,1560
4288,1599
4288,1753
4288,1807
4288,3864
4288,4056
4289,4259
4290,2553
4290,2898
4292,4981
4293,1756
4293,1865
4293,3949
4295,2443
4303,2329
4306,4196
4307,1799
4307,1828
4307,3948
4312,4192
4313,4314
4313,4973
4313,4974
4318,4975
4318,5011
4331,4332
4334,4335
4341,4778
4351,2308
4357,4358
4357,4857
4359,2661
4359,2663
4359,3873
4359,4236
4364,2834
4669,1800
4722,4187
4722,4253
4722,4721
4722,5160
4729,4726
4729,4727
4733,4731
4735,4323
4735,4734
4742,4237
4742,4238
4742,4239
4747,4349
4747,4849
4752,4400
4752,5223
4759,2071
4759,2082
4761,3869
4761,4063
4762,2860
4765,4058
4766,4355
4767,2543
4776,4775
4791,4738
4791,4790
4797,4399
4806,1506
4820,1933
4820,1940
4820,4094
4820,4104
4820,4105
4830,4327
4832,4372
4911,2466
4914,2488
4914,4913
4915,2001
4923,2725
4923,4943
4939,2518
4939,3906
4983,4982
5019,231
5019,254
5019,303
5019,5029
5025,4613
5161,4067
5292,5184
