
id,relativeid,relationshipid
1,2459,16
3,51,3
3,4988,3
3,5020,3
3,4883,5
3,13,6
3,37,6
3,60,6
7,36,6
7,157,25
7,169,25
13,22,3
13,79,3
13,5032,3
13,4883,5
13,3,6
13,37,6
13,60,6
22,13,5
22,79,6
22,5032,6
23,138,3
23,4930,5
23,55,6
32,113,3
32,141,3
32,4781,5
35,122,3
35,153,3
36,134,3
36,7,6
37,149,3
37,4883,5
37,3,6
37,13,6
37,60,6
48,52,6
51,180,3
51,3,5
51,4988,6
51,5020,6
52,48,6
55,4930,5
55,23,6
60,4883,8
60,3,9
60,13,9
60,37,9
76,143,3
76,4804,5
78,124,25
79,13,5
79,22,6
79,5032,6
80,116,3
91,97,6
91,107,6
97,91,6
97,107,6
105,286,15
107,243,3
107,91,6
107,97,6
110,127,6
113,32,5
113,141,6
114,285,3
114,4870,5
114,142,6
116,80,5
122,35,5
122,153,6
124,214,3
124,311,3
124,329,3
124,4810,5
124,78,19
125,126,6
126,125,6
127,110,6
134,36,5
138,246,3
138,4936,3
138,23,5
138,344,25
141,32,5
141,113,6
142,231,3
142,254,3
142,303,3
142,5029,3
142,5019,4
142,4870,5
142,114,6
143,173,3
143,76,5
149,238,3
149,37,5
153,196,3
153,4891,3
153,35,5
153,122,6
157,7,19
163,4898,5
163,4897,6
169,297,3
169,7,19
169,364,25
173,239,3
173,241,3
173,328,3
173,143,5
175,593,18
175,499,25
180,306,3
180,51,5
185,496,18
188,5021,3
196,153,5
196,4891,6
209,269,3
209,213,6
213,274,3
213,209,6
214,322,3
214,400,3
214,124,5
214,311,6
214,329,6
219,312,3
226,2459,16
231,427,3
231,142,5
231,5019,5
231,254,6
231,303,6
231,5029,6
238,366,3
238,149,5
239,305,3
239,326,3
239,173,5
239,241,6
239,328,6
241,334,3
241,173,5
241,239,6
241,328,6
243,343,3
243,107,5
246,388,3
246,401,3
246,4980,3
246,138,5
246,4936,6
246,344,15
249,291,3
254,415,3
254,291,4
254,142,5
254,5019,5
254,231,6
254,303,6
254,5029,6
269,209,5
269,274,21
274,213,5
274,269,21
285,114,5
286,355,3
286,105,13
286,332,15
286,374,15
287,4614,3
288,4615,6
291,254,4
291,249,8
291,415,12
297,169,5
297,479,25
300,330,3
301,4952,5
303,475,3
303,142,5
303,5019,5
303,231,6
303,254,6
303,5029,6
305,239,5
305,326,6
306,381,3
306,429,3
306,180,5
311,124,5
311,214,6
311,329,6
312,219,5
322,444,3
322,214,5
322,400,6
326,510,3
326,239,5
326,305,6
328,173,5
328,239,6
328,241,6
329,124,5
329,214,6
329,311,6
330,300,5
332,450,3
332,374,6
332,4954,6
332,286,13
334,373,3
334,390,3
334,426,3
334,241,5
335,543,3
335,4782,5
336,4955,5
340,414,3
340,486,3
343,4957,3
343,243,5
344,4936,5
344,246,13
344,138,19
355,286,5
362,378,6
364,169,19
366,4959,3
366,238,5
373,334,5
373,390,6
373,426,6
374,332,6
374,4954,6
374,286,13
376,513,3
376,519,3
378,362,6
381,503,3
381,556,3
381,306,5
381,429,6
388,465,3
388,246,5
388,401,6
388,4980,6
389,534,25
390,334,5
390,373,6
390,426,6
391,4954,5
391,406,6
391,5009,6
400,498,3
400,501,3
400,214,5
400,322,6
401,4965,3
401,246,5
401,388,6
401,4980,6
401,445,15
401,541,25
402,579,25
406,493,3
406,4954,5
406,391,6
406,5009,6
414,340,5
414,486,6
415,483,3
415,254,5
415,291,5
426,334,5
426,373,6
426,390,6
427,231,5
429,511,3
429,306,5
429,381,6
444,4814,3
444,4815,3
444,322,5
445,4980,5
445,401,13
445,4979,13
450,332,5
465,525,3
465,388,5
475,303,5
479,297,19
483,487,3
483,415,5
484,529,3
486,526,3
486,340,5
486,414,6
487,568,3
487,696,3
487,483,5
493,497,3
493,500,3
493,406,5
496,185,26
497,4985,3
497,493,5
497,500,6
497,637,25
498,559,3
498,604,3
498,712,3
498,4340,3
498,400,5
498,501,6
499,4611,3
499,4986,5
499,175,19
500,493,5
500,497,6
501,400,5
501,498,6
503,381,5
503,556,6
505,601,3
510,611,3
510,326,5
511,429,5
513,376,5
513,519,6
513,628,25
514,4807,6
515,596,3
519,376,5
519,513,6
522,570,3
522,4959,5
524,691,25
525,465,5
526,486,5
529,484,5
534,640,3
534,4989,5
534,389,19
541,4965,5
541,401,19
543,591,3
543,713,3
543,335,5
546,4808,5
547,647,3
549,4347,3
550,658,3
552,638,3
556,682,3
556,381,5
556,503,6
557,662,3
559,642,3
559,3943,3
559,498,5
559,604,6
559,712,6
559,4340,6
559,605,29
560,584,3
568,487,5
568,696,6
570,716,3
570,522,5
572,615,3
579,402,19
580,624,5
580,4992,6
584,560,5
588,680,3
591,702,3
591,744,3
591,776,3
591,4206,3
591,4321,3
591,543,5
591,713,6
593,5027,3
593,4991,5
593,175,26
596,685,3
596,515,5
601,505,5
601,1475,18
604,498,5
604,559,6
604,712,6
604,4340,6
605,559,29
608,5022,4
609,718,3
609,718,25
610,681,3
611,510,5
614,634,3
614,634,6
615,645,3
615,572,5
617,684,3
622,5171,5
624,580,3
624,4992,3
624,3349,5
628,722,3
628,723,3
628,5172,5
628,513,19
629,636,6
629,803,25
634,614,5
634,614,6
636,629,6
636,738,25
637,787,18
637,497,19
637,758,25
638,552,5
640,534,5
642,709,3
642,559,5
642,3943,6
645,699,3
645,615,5
647,547,5
649,789,3
658,752,3
658,550,5
658,923,25
659,4993,3
659,5002,3
660,735,3
662,4802,3
662,557,5
662,810,25
669,4754,5
669,4753,6
673,751,3
675,1127,3
675,1127,25
680,796,3
680,588,5
681,3861,3
681,4874,3
681,4880,3
681,610,5
681,1205,25
681,1395,25
682,4994,3
682,556,5
682,807,25
683,799,3
683,800,3
684,4995,3
684,617,5
684,936,25
685,596,5
688,780,3
688,782,3
688,4803,5
689,3352,3
690,766,25
691,760,3
691,524,19
692,4816,5
692,700,6
696,865,3
696,487,5
696,568,6
696,3355,25
698,1085,25
699,781,3
699,924,3
699,945,3
699,645,5
699,1178,25
699,1194,25
699,1441,25
700,4816,5
700,692,6
702,591,5
702,744,6
702,776,6
702,4206,6
702,4321,6
703,806,3
703,3861,4
703,732,6
707,797,3
707,4212,5
707,4211,6
709,642,5
712,879,3
712,498,5
712,559,6
712,604,6
712,4340,6
712,1209,25
713,543,5
713,591,6
716,808,3
716,570,5
718,609,5
718,609,19
720,805,3
721,856,3
721,759,6
722,817,3
722,832,3
722,628,5
722,723,6
723,819,3
723,628,5
723,722,6
727,3943,5
727,4350,5
732,703,6
734,836,3
734,959,3
734,1100,25
734,1103,25
734,1151,25
735,660,5
738,636,19
738,1109,25
739,826,3
742,919,3
742,4996,5
742,747,21
742,3959,21
742,919,25
743,1214,25
744,858,3
744,4042,3
744,591,5
744,702,6
744,776,6
744,4206,6
744,4321,6
746,748,16
747,845,3
747,852,3
747,4963,5
747,3959,6
747,742,21
747,931,25
748,746,16
751,891,3
751,905,3
751,996,3
751,673,5
752,923,3
752,658,5
757,3942,5
757,762,6
757,1097,25
758,787,15
758,637,19
759,721,6
760,691,5
761,866,3
762,4234,3
762,3942,5
762,757,6
762,1042,25
762,1097,25
763,1140,25
764,939,3
764,1173,25
765,823,3
765,768,6
766,788,3
766,4872,3
766,1502,18
766,690,19
766,1170,25
766,1172,25
766,1251,25
766,1278,25
767,1022,3
767,4997,5
767,779,6
768,765,6
768,1327,25
771,4203,6
776,1079,3
776,591,5
776,702,6
776,744,6
776,4206,6
776,4321,6
776,1290,25
777,882,15
777,991,15
778,982,3
778,1011,3
779,1022,3
779,4997,5
779,767,6
780,877,3
780,903,3
780,1023,3
780,688,5
780,782,6
781,1204,3
781,1242,3
781,1247,3
781,3693,3
781,4241,4
781,699,5
781,924,6
781,945,6
782,903,3
782,985,3
782,986,3
782,688,5
782,780,6
783,960,3
783,4998,5
783,926,15
785,4709,3
785,4753,5
785,1471,25
786,827,3
786,4992,5
787,998,3
787,758,13
787,1384,25
787,1442,25
787,637,26
788,1143,3
788,1170,3
788,766,5
788,4872,6
789,649,5
791,857,3
791,5000,5
791,853,6
791,4246,6
791,4999,19
792,4222,3
792,4223,3
792,4635,3
792,1067,25
793,989,3
793,4090,5
796,680,5
797,707,5
798,4507,3
799,683,5
799,800,6
800,683,5
800,799,6
803,904,3
803,629,19
805,902,3
805,930,3
805,993,3
805,720,5
806,703,5
806,3861,5
807,1200,3
807,1232,3
807,4873,3
807,4994,5
807,682,19
808,1201,3
808,716,5
810,997,3
810,4802,5
810,856,6
810,662,19
810,1318,25
812,1024,3
813,888,3
813,912,3
814,4218,3
814,1323,25
814,1332,25
814,1573,25
817,1077,3
817,1090,3
817,3860,3
817,722,5
817,832,6
817,878,15
818,1183,3
818,872,16
819,723,5
820,1101,3
822,1288,3
822,1289,3
823,765,5
824,949,3
826,1134,3
826,3945,3
826,4755,3
826,739,5
827,952,3
827,4219,4
827,786,5
827,909,16
827,4755,22
827,1519,25
828,831,5
830,1035,3
830,1163,3
831,828,3
832,878,3
832,1016,3
832,4246,4
832,722,5
832,817,6
833,976,3
835,1140,3
835,1187,3
835,1228,3
836,1100,3
836,1103,3
836,1151,3
836,1413,3
836,734,5
836,959,6
843,3661,6
845,931,3
845,953,3
845,747,5
845,852,6
