
relationshipid,relationship
10,betrothed to
11,divorced from
12,mother of
13,nephew of
14,adoptive brother of
15,uncle of
16,related to
17,halfsister of
18,great grandfather of
19,grandson of
20,stepfather of
21,cousin of
22,adoptive father of
23,stepson of
24,stepbrother of
25,grandfather of
26,great grandson of
27,grandmother of
28,great uncle of
29,halfbrother of
3,father of
30,granddaughter of
31,adopted grandson of
33,great granddaughter of
34,adoptive grandfather
36,adoptive mother of
37,aunt of
38,niece of
39,adoptive sister of
4,married to
40,stepdaughter of
41,adopted daughter of
42,stepmother of
43,stepsister of
45,great niece of
46,adoptive grandmother of
48,great grandmother of
5,son of
53,adoptive great grandfather of
54,great nephew of
6,brother of
7,adopted son of
8,daughter of
9,sister of
