
childid,parentid
1560,1599
1560,1753
1560,1807
1560,3864
1560,4056
1646,4171
1698,4170
2202,1965
3860,1077
3860,1090
3861,4874
3861,4880
3862,2023
3862,3863
3862,4023
3862,4270
3863,2023
3863,3862
3863,4023
3863,4270
3864,1560
3864,1599
3864,1753
3864,1807
3864,4056
3867,2300
3867,3920
3867,3937
3867,4284
3870,2241
3870,3917
3870,3958
3870,4012
3870,4259
3873,2661
3873,2663
3873,4236
3876,4336
3877,2478
3878,2044
3879,2282
3880,1998
3880,4265
3883,2534
3883,2597
3883,3909
3883,4251
3884,4830
3885,1957
3885,4184
3890,2554
3890,2754
3890,4229
3890,4261
3890,4289
3890,4343
3892,3891
3901,2459
3901,3963
3901,3973
3902,4294
3906,2518
3908,2191
3909,2534
3909,2597
3909,3883
3909,4251
3912,3903
3912,3904
3912,3911
3912,3914
3912,3922
3912,4175
3912,4176
3912,4187
3912,4190
3912,4253
3912,4254
3912,4255
3912,4721
3912,5160
3914,3903
3914,3904
3914,3911
3914,3912
3914,3922
3914,4175
3914,4176
3914,4187
3914,4190
3914,4253
3914,4254
3914,4255
3914,4721
3914,5160
3915,3969
3919,1763
3919,1816
3920,1783
3920,2262
3920,2300
3920,3867
3920,3937
3920,4284
3928,2563
3934,2253
3934,2254
3934,3935
3937,1783
3937,2262
3937,2300
3937,3867
3937,3920
3937,4284
3939,1751
3943,642
3945,1134
3945,4755
3946,1285
3946,1309
3946,1331
3946,4228
3947,1649
3947,1693
3948,1799
3948,1828
3949,1756
3949,1865
3952,2376
3952,2542
3953,4328
3953,4811
3958,2241
3958,3870
3958,3917
3958,4012
3958,4259
3960,3923
3962,3905
3962,4813
3963,2459
3963,3901
3963,3973
3964,4071
3966,3965
3968,1976
3968,4062
3969,3915
3971,1902
3973,2459
3973,3901
3973,3963
3978,3979
3991,1596
3991,4881
3993,3865
4004,5545
4005,4030
4007,4006
4008,4058
4010,4081
4011,2573
4012,2241
4012,3870
4012,3917
4012,3958
4012,4259
4020,1422
4020,1504
4020,4022
4020,4051
4022,1422
4022,1504
4022,4020
4022,4051
4023,2023
4023,3862
4023,3863
4023,4270
4027,1786
4029,1635
4029,1665
4029,1677
4029,1701
4029,4054
4030,4005
4031,4032
4032,4031
4035,1805
4042,858
4043,2062
4043,2140
4043,2219
4043,4097
4043,4197
4047,4078
4049,1949
4051,1422
4051,1504
4051,4020
4051,4022
4052,1787
4053,2373
4054,1635
4054,1665
4054,1677
4054,1701
4054,4029
4056,1560
4056,1599
4056,1753
4056,1807
4056,3864
4058,4008
4062,1976
4062,3968
4063,2341
4063,2350
4063,3869
4063,4001
4065,2291
4070,2564
4070,3930
4078,4047
4091,1525
4091,1598
4095,1969
4095,2077
4097,2062
4097,2140
4097,2219
4097,4043
4097,4197
4099,1660
4099,1778
4099,4820
4105,1933
4105,1940
4105,4094
4105,4104
4110,4341
4123,4121
4123,4122
4129,4128
4131,1912
4135,2729
4143,2392
4143,2497
4143,2523
4147,2344
4147,4157
4156,1629
4164,3671
4164,4461
4164,4791
4166,2930
4166,4180
4166,4940
4172,1796
4174,2572
4174,4684
4174,4729
4174,4763
4174,4864
4175,3903
4175,3904
4175,3911
4175,3912
4175,3914
4175,3922
4175,4176
4175,4187
4175,4190
4175,4253
4175,4254
4175,4255
4175,4721
4175,5160
4179,4297
4179,4828
4179,4947
4179,4948
4182,2808
4182,4177
4184,1957
4184,3885
4190,3903
4190,3904
4190,3911
4190,3912
4190,3914
4190,3922
4190,4175
4190,4176
4190,4187
4190,4253
4190,4254
4190,4255
4190,4721
4190,5160
4197,2062
4197,2140
4197,2219
4197,4043
4197,4097
4204,4888
4206,702
4206,744
4206,776
4206,4321
4207,4303
4207,4933
4210,1631
4210,1883
4214,1637
4214,4876
4220,1118
4220,1125
4220,1191
4228,1285
4228,1309
4228,1331
4228,3946
4229,2554
4229,2754
4229,3890
4229,4261
4229,4289
4229,4343
4236,2661
4236,2663
4236,3873
4245,1651
4245,4021
4246,791
4246,853
4248,4743
4249,2758
4249,2802
4249,2914
4249,4292
4251,2534
4251,2597
4251,3883
4251,3909
4253,3903
4253,3904
4253,3911
4253,3912
4253,3914
4253,3922
4253,4175
4253,4176
4253,4187
4253,4190
4253,4254
4253,4255
4253,4721
4253,5160
4254,3903
4254,3904
4254,3911
4254,3912
4254,3914
4254,3922
4254,4175
4254,4176
4254,4187
4254,4190
4254,4253
4254,4255
4254,4721
4254,5160
4255,3903
4255,3904
4255,3911
4255,3912
4255,3914
4255,3922
4255,4175
4255,4176
4255,4187
4255,4190
4255,4253
4255,4254
4255,4721
4255,5160
4259,2241
4259,3870
4259,3917
4259,3958
4259,4012
4264,3881
4269,4268
4280,1746
4282,2536
4284,1783
4284,2262
4284,2300
4284,3867
4284,3920
4284,3937
4289,2554
4289,2754
4289,3890
4289,4229
4289,4261
4289,4343
4291,2449
4292,2758
4292,2802
4292,2914
4292,4249
4295,2261
4303,4207
4303,4933
4304,4932
4304,4971
4307,1550
4307,1655
4312,4745
4313,4355
4313,4356
4323,4734
4334,4330
4334,4357
4334,4733
4340,559
4340,604
4340,712
4341,4110
4343,2554
4343,2754
4343,3890
4343,4229
4343,4261
4343,4289
4357,4330
4357,4334
4357,4733
4359,1740
4364,2450
4364,2477
4364,3775
4364,3888
4693,4740
4693,4741
4710,1749
4729,2572
4729,4174
4729,4684
4729,4763
4729,4864
4730,2823
4730,4825
4733,4330
4733,4334
4733,4357
4740,4693
4740,4741
4747,2403
4747,2435
4747,3495
4747,4348
4759,1836
4766,2739
4776,2399
4790,4738
4791,3671
4791,4164
4791,4461
4792,4793
4792,4794
4814,4815
4815,4814
4820,1660
4820,1778
4820,4099
4825,2823
4825,4730
4830,3884
4911,1934
4911,3704
4913,2488
4931,2429
4940,2930
4940,4166
4940,4180
4947,4179
4947,4297
4947,4828
4947,4948
4948,4179
4948,4297
4948,4828
4948,4947
