
id,name,nomen,sex,parent
3,VALE0003 P. Valerius (302) Volus. f. - n. Poplicola,Valerius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4883
13,VALE0013 M. Valerius (74) Volus. f. (Volusus),Valerius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4883
22,VALE0022 M'. Valerius (65) M. f. Volus. n.,Valerius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,13
23,SULP0023 Ser. Sulpicius (35) P. f. - n. Camerinus Cornutus,Sulpicius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4930
32,CLAU0032 Ap. Claudius (321) M. f. Sabinus Inregillensis,Claudius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4781
37,VALE0037 M'. Valerius (243) Volus. f. Maximus,Valerius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4883
51,VALE0051 P. Valerius (301) P. f. Volus. n. Poplicola,Valerius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3
55,SULP0055 Q. Sulpicius (33) Camerinus Cornutus,Sulpicius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4930
76,CORN0076 Ser. Cornelius (253) Maluginensis Tricostus,Cornelius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4804
79,VALE0079 L. Valerius (380) M. f. Volus. n. Potitus,Valerius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,13
113,CLAU0113 Ap. Claudius (123) Ap. f. M. n. Crassinus Inregillensis Sabinus,Claudius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,32
114,QUIN0114 T. Quinctius (24) (L. f. L. n.) Capitolinus Barbatus,Quinctius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4870
116,AEMI0116 Ti. Aemilius (99) L. f. Mam. n. Mamercus,Aemilius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,80
122,VERG0122 A. Verginius (13) (Tricostus) Caeliomontanus,Verginius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,35
124,FABI0124 Q. Fabius (165) M. f. K. n. Vibulanus,Fabius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4810
134,VETU0134 T. Veturius (18) T. f. - n. Geminus Cicurinus,Veturius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,36
138,SULP0138 Ser. (or P.) Sulpicius (36) - f. Ser. n. Camerinus Cornutus,Sulpicius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,23
141,CLAU0141 C. Claudius (322) Ap. f. M. n. Crassus Inregillensis Sabinus,Claudius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,32
142,QUIN0142 L. Quinctius (27) L. f. L. n. Cincinnatus,Quinctius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4870
143,CORN0143 L. Cornelius (256) Ser. f. P. n. Maluginensis Uritinus,Cornelius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,76
149,VALE0149 M. Valerius (246) M'. f. Volus. n. Maximus (Lactuca),Valerius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,37
153,VERG0153 Sp. Verginius (20) A. f. A. n. Tricostus Caeliomontanus,Verginius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,35
163,QUIN0163 Sex. Quinctilius (15) Sex. f. P. n.,Quinctilius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4898
173,CORN0173 M. Cornelius (246) - f. Ser. n. Maluginensis,Cornelius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,143
180,VALE0180 L. Valerius (304) P. f. P. n. Potitus Potitus,Valerius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,51
196,VERG0196 T. Verginius (23) Tricostus Caeliomontanus,Verginius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,153
214,FABI0214 M. Fabius (162) (Q. f. M. n.) Vibulanus,Fabius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,124
231,QUIN0231 L. Quinctius (28) L. f. L. n. Cincinnatus,Quinctius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,142
231,QUIN0231 L. Quinctius (28) L. f. L. n. Cincinnatus,Quinctius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,5019
238,VALE0238 M. Valerius (206) M. f. M'. n. Lactuca (or Lactucinus) Maximus,Valerius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,149
239,CORN0239 A. Cornelius (112) M. f. L. n. Cossus,Cornelius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,173
241,CORN0241 M. Cornelius (247) (M. f. L. n.) Maluginensis,Cornelius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,173
243,VERG0243 L. Verginius (14) Tricostus,Verginius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,107
246,SULP0246 Q. Sulpicius (37) Ser. ? f. - n. Camerinus Praetextatus,Sulpicius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,138
254,QUIN0254 T. Quinctius (34) L. f. L. n. Pennus Cincinnatus,Quinctius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,142
254,QUIN0254 T. Quinctius (34) L. f. L. n. Pennus Cincinnatus,Quinctius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,5019
269,"SEMP0269 A. Sempronius (22, cf. 2) L. f. A. n. Atratinus",Sempronius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,209
274,SEMP0274 C. Sempronius (24) Atratinus,Sempronius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,213
285,QUIN0285 T. Quinctius (25) T. f. L. n. Capitolinus Barbatus,Quinctius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,114
297,VETU0297 Sp. Veturius (14) Sp. f. Sp. n. Crassus Cicurinus,Veturius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,169
301,VALE0301 C. Valerius (309) L. f. Volus. n. Potitus Volusus,Valerius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4952
303,QUIN0303 Q. Quinctius (30) L. f. L. n. Cincinnatus,Quinctius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,142
303,QUIN0303 Q. Quinctius (30) L. f. L. n. Cincinnatus,Quinctius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,5019
305,CORN0305 Cn. Cornelius (116) A. f. M. n. Cossus,Cornelius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,239
306,VALE0306 L. Valerius (307) L. f. P. n. Potitus,Valerius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,180
311,"FABI0311 Q. Fabius (166, cf. 46) Vibulanus",Fabius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,124
312,FURI0312 C. Furius (74) Pacilus,Furius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,219
322,"FABI0322 K. Fabius (42, cf. 39, 48) M. f. Q. n. Ambustus",Fabius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,214
326,CORN0326 P. Cornelius (119) A. f. M. n. Cossus,Cornelius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,239
328,CORN0328 P. Cornelius (307) M. f. L. n. Rutilus Cossus,Cornelius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,173
329,FABI0329 N. (or Cn.) Fabius (163) Q. f. M. n. Vibulanus,Fabius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,124
330,CORN0330 Cn. Cornelius (117) P. f. A. n. Cossus,Cornelius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,300
334,"CORN0334 P. Cornelius (250, cf. 39) (M. f. M. n.) Maluginensis",Cornelius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,241
335,CLAU0335 Ap. Claudius (122) P. f. Ap. n. Crassus Inregillensis,Claudius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4782
336,QUIN0336 M. Quinctilius (9) L. f. L. n. Varus,Quinctilius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4955
343,VERG0343 L. Verginius (15) L. f. Opet. n. Tricostus Esquilinus,Verginius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,243
344,SULP0344 Q. Sulpicius (34) Ser. f. Ser. n. Camerinus Cornutus,Sulpicius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4936
355,MANL0355 P. Manlius (97) M. f. Cn. n. Vulso,Manlius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,286
366,VALE0366 M. Valerius (207) M. f. M. n. Lactucinus Maximus,Valerius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,238
373,CORN0373 P. Cornelius (252) P. f. M. n. Maluginensis,Cornelius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,334
381,VALE0381 L. Valerius (298) L. f. L. n. Poplicola,Valerius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,306
388,"SULP0388 Ser. Sulpicius (31, cf. 94) Q. f. Ser. n. Camerinus Rufus",Sulpicius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,246
390,CORN0390 M. Cornelius (248) P. f. M. n. Maluginensis,Cornelius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,334
