
id,name,nomen,sex,spouse
142,QUIN0142 L. Quinctius (27) L. f. L. n. Cincinnatus,Quinctius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,5019
254,QUIN0254 T. Quinctius (34) L. f. L. n. Pennus Cincinnatus,Quinctius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,291
291,POST0291  Postumia (66),Postumia,http://romanrepublic.ac.uk/rdf/entity/Sex/Female,254
608,VOLU0608 L. Volumnius (13) C. f. C. n. Flamma Violens,Volumnius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,5022
703,ATIL0703 M. Atilius (51) M. f. L. n. Pup. Regulus,Atilius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3861
781,FULV0781 Q. Fulvius (59) M. f. Q. n. Flaccus,Fulvius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4241
827,LIVI0827 M. Livius (33) M. f. M. n. Pol. Salinator,Livius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4219
832,CORN0832 P. Cornelius (330) L. f. L. n. Scipio,Cornelius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4246
856,OTAC0856 T. Otacilius (12) Crassus,Otacilius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4340
878,CORN0878 P. Cornelius (336) P. f. L. n. Scipio Africanus Maior,Cornelius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3945
907,PORC0907 M. Porcius (9) M. f. Pap. Cato 'Censorius',Porcius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3944
907,PORC0907 M. Porcius (9) M. f. Pap. Cato 'Censorius',Porcius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4247
924,FULV0924 Cn. Fulvius (54) Flaccus,Fulvius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4216
1090,CORN1090 Cn. Cornelius (346) Cn. f. L. n. Scipio Hispallus,Cornelius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4806
1134,AEMI1134 L. Aemilius (114) L. f. M. n. Paullus Macedonicus,Aemilius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4201
1182,SEMP1182 Ti. Sempronius (53) P. f. Ti. n. Gracchus,Sempronius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3946
1222,CALP1222 C. Calpurnius (62) C. f. C. n. Piso,Calpurnius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4216
1396,CORN1396 P. Cornelius (353) P. f. Cn. n. Scipio Nasica Corculum,Cornelius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4228
1406,POST1406 L. Postumius (42) Sp. f. L. n. Albinus,Postumius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4669
1429,AELI1429 Q. Aelius (154) Tro. Tubero,Aelius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4022
1433,PORC1433 M. Porcius (14) M. f. M. n. Cato Licinianus,Porcius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4020
1452,CLAU1452 Ap. Claudius (295) Cn. f. Ap. n. Pulcher,Claudius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4288
1500,LICI1500 P. Licinius (72) P. f. P. n. Crassus Dives Mucianus,Licinius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3996
1504,CORN1504 P. Cornelius (335) P. f. P. n. Scipio Africanus Aemilianus,Cornelius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4091
1523,FANN1523 C. Fannius (7) M. f. (C.? n.),Fannius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3915
1525,SEMP1525 Ti. Sempronius (54) Ti. f. P. n. Gracchus,Sempronius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3864
1565,IUNI1565 D. Iunius (57) M. f. M. n. Brutus Callaicus,Iunius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3996
1596,RUTI1596 P. Rutilius (34) P. f.  Rufus,Rutilius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4245
1598,SEMP1598 C. Sempronius (47) Ti. f. P. n. Gracchus,Sempronius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3862
1598,SEMP1598 C. Sempronius (47) Ti. f. P. n. Gracchus,Sempronius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3863
1613,MUCI1613 Q. Mucius (21) Q. f. Q. n. Scaevola 'Augur',Mucius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3969
1615,FABI1615 Q. Fabius (111) Q. Serviliani f. Q. n. Maximus Eburnus,Fabius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4235
1645,AEMI1645 M. Aemilius (140) M. f. L. n. Cam. Scaurus,Aemilius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3929
1650,ACIL1650 M'. Acilius (37) Glabrio,Acilius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4032
1651,LIVI1651 M. Livius (17) C. f. M. n. Drusus,Livius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4293
1660,"MARI1660 C. Marius (14, Supb. 6) C. f. C. n. Cor.",Marius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3948
1662,SULP1662 C. Sulpicius (51) Ser. f. Ser. n. Galba,Sulpicius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4023
1670,HORT1670 Q.? Hortensius (5),Hortensius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3960
1679,LICI1679 L. Licinius (55) L. f. C. n. Crassus,Licinius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4031
1695,CORN1695 P. Cornelius (355) P. f. P. n. Scipio Nasica Serapio,Cornelius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4029
1716,HORT1716 L. (or Q.) Hortensius (2),Hortensius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3960
1731,LUTA1731 Q. Lutatius (7) Q. f. Catulus,Lutatius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3919
1731,LUTA1731 Q. Lutatius (7) Q. f. Catulus,Lutatius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4156
1746,CORN1746 L. Cornelius (392) L. f. P. n. Sulla Felix ('Epaphroditus'),Cornelius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3929
1746,CORN1746 L. Cornelius (392) L. f. P. n. Sulla Felix ('Epaphroditus'),Cornelius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4282
1746,CORN1746 L. Cornelius (392) L. f. P. n. Sulla Felix ('Epaphroditus'),Cornelius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4285
1746,CORN1746 L. Cornelius (392) L. f. P. n. Sulla Felix ('Epaphroditus'),Cornelius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4286
1746,CORN1746 L. Cornelius (392) L. f. P. n. Sulla Felix ('Epaphroditus'),Cornelius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4287
1756,LIVI1756 M. Livius (18) M. f. C. n. Drusus,Livius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4172
1759,LICI1759 L. Licinius (103) Lucullus,Licinius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3947
1767,POMP1767 Cn. Pompeius (45) Sex. f. Cn. n. Strabo 'Menogenes',Pompeius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4207
1780,LICI1780 P. Licinius (61) M. f. P. n. Crassus (Dives),Licinius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3999
1786,GRAT1786 M. Gratidius (2) Cor.,Gratidius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4820
1795,CALP1795 L. Calpurnius (89) Piso (Caesoninus),Calpurnius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3967
1796,SERV1796 Q. Servilius (50) Caepio,Servilius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3949
1799,IULI1799 C. Iulius (130) C. f. L. n. Caesar,Iulius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4258
1802,VALE1802 L. Valerius (178) C.? f. L. n. Flaccus,Valerius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4085
1806,PORC1806 M. Porcius (12) Pap. Cato,Porcius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3949
1807,CLAU1807 Ap. Claudius (296) Ap. f. C. n. Pulcher,Claudius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4052
1822,GELL1822 L. Gellius (17) L. f. L. n. Tro. Poplicola,Gellius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4191
1825,IULI1825 L. Iulius (142) L. f. Sex. n. Caesar,Iulius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3993
1835,PAPI1835 C. Papirius (40) C. f. Carbo Arvina,Papirius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4059
1836,CORN1836 P. Cornelius (351) P. f. P. n. Scipio Nasica,Cornelius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4030
1871,CORN1871 L. Cornelius (106) L. f. L. n. Cinna,Cornelius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4359
1876,SCRI1876 C. Scribonius (10) C. f. Curio 'Burbuleius',Scribonius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4295
1882,CORN1882 L. Cornelius (338) L. f. L. n. Scipio Asiaticus (Asiagenus),Cornelius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4761
1902,HORT1902 Q. Hortensius (13) L. f. Hortalus,Hortensius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3883
1902,HORT1902 Q. Hortensius (13) L. f. Hortalus,Hortensius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4049
1903,LICI1903 L. Licinius (104) L. f. L. n. Lucullus Ponticus,Licinius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3958
1903,LICI1903 L. Licinius (104) L. f. L. n. Lucullus Ponticus,Licinius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4097
1932,ANTI1932 P. Antistius (18),Antistius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4278
1957,IULI1957 C. Iulius (131) C. f. C. n. Fab. Caesar,Iulius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3873
1957,IULI1957 C. Iulius (131) C. f. C. n. Fab. Caesar,Iulius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3876
1957,IULI1957 C. Iulius (131) C. f. C. n. Fab. Caesar,Iulius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3877
1963,"TERE1963 M. Terentius (84, Supb. 6.1172ff) Qui. Varro Reatinus",Terentius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4353
1967,VERR1967 C. Verres (1) Rom.,Verres,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4147
1973,IUNI1973 M. Iunius (52) Brutus,Iunius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3870
1974,PUPI1974 M. Pupius (10) M. f. Piso Frugi Calpurnianus,Pupius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4359
1976,POMP1976 Cn. Pompeius (31) Cn. f. Sex. n. Clu. Magnus,Pompeius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3874
1976,POMP1976 Cn. Pompeius (31) Cn. f. Sex. n. Clu. Magnus,Pompeius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3882
1976,POMP1976 Cn. Pompeius (31) Cn. f. Sex. n. Clu. Magnus,Pompeius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3908
1976,POMP1976 Cn. Pompeius (31) Cn. f. Sex. n. Clu. Magnus,Pompeius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3937
1976,POMP1976 Cn. Pompeius (31) Cn. f. Sex. n. Clu. Magnus,Pompeius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4277
1981,LICI1981 M. Licinius (68) P. f. M. n. Crassus,Licinius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4267
1983,MARI1983 C. Marius (15) C. f. C. n.,Marius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4005
1991,DOMI1991 Cn. Domitius (22) Ahenobarbus,Domitius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4236
1992,VALE1992 L. Valerius (179) L. f. C.? n. Flaccus,Valerius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4914
1993,AEMI1993 M. Aemilius (72) Q. f. M. n. Pal. Lepidus,Aemilius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4242
1998,SERG1998 L. Sergius (23) Tro. Catilina,Sergius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3879
1998,SERG1998 L. Sergius (23) Tro. Catilina,Sergius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4105
2011,PAPI2011 C. Papirius (34) (Cn. f.) Carbo,Papirius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4059
2012,CORN2012 P. Cornelius (240) P. f. P. n. Lentulus Sura,Cornelius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3878
2020,"MEMM2020 C. Memmius (6, 7) L. f. Gal.",Memmius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3968
2020,"MEMM2020 C. Memmius (6, 7) L. f. Gal.",Memmius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4062
2021,CLAU2021 C. Claudius (214) Marcellus,Claudius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4077
2023,IUNI2023 D. Iunius (46) D. f. M. n. Brutus,Iunius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3960
2023,IUNI2023 D. Iunius (46) D. f. M. n. Brutus,Iunius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4269
2040,CAEC2040 Q. Caecilius (86) Q. f. Q. or L.? n. Metellus Celer,Caecilius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4043
2072,TULL2072 M. Tullius (29) M. f. M. n. Cor. Cicero,Tullius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3940
2072,TULL2072 M. Tullius (29) M. f. M. n. Cor. Cicero,Tullius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4004
2077,ANTO2077 M. Antonius (29) M. f. Creticus,Antonius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3878
2077,ANTO2077 M. Antonius (29) M. f. Creticus,Antonius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4083
2082,"CORN2082 Cn. Cornelius (228, 24) P. f. Lentulus Marcellinus",Cornelius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3906
2088,SULP2088 Ser. Sulpicius (95) Q. f. Lem. Rufus,Sulpicius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3984
2104,OCTA2104 C. Octavius (15) Sca.,Octavius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3884
2104,OCTA2104 C. Octavius (15) Sca.,Octavius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4252
2107,VALE2107 M. Valerius (266) M. f. M'. n. Messalla Niger 'Menogenes',Valerius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4191
2117,"VALE2117 C. Valerius (363, 366) Aem. Triarius",Valerius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3933
2119,ACIL2119 M'. Acilius (38) M'. f. M'. n. Glabrio,Acilius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3937
2120,IUNI2120 D. Iunius (163) M. f. Silanus,Iunius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3870
2140,CLAU2140 Ap. Claudius (297) Ap. f. Ap. n. Pulcher,Claudius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3992
2140,CLAU2140 Ap. Claudius (297) Ap. f. Ap. n. Pulcher,Claudius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4765
2142,MUMM2142 -. Mummius (2),Mummius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3961
2151,MARC2151 Q. Marcius (92) Q. f. Q. n. Rex,Marcius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4197
2168,CALP2168 L. Calpurnius (90) L. f. L. n. Men. Piso Caesoninus,Calpurnius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3927
2196,CORN2196 L. Cornelius (234) Lentulus Niger,Cornelius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,2197
2197,PUBL2197  Publicia (27),Publicia,http://romanrepublic.ac.uk/rdf/entity/Sex/Female,2196
2216,TULL2216 Q. Tullius (31) M. f. M. n. Cor. Cicero,Tullius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3966
2219,CLOD2219 P. Clodius (48) Ap. f. Pal. Pulcher,Clodius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3893
2219,CLOD2219 P. Clodius (48) Ap. f. Pal. Pulcher,Clodius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4053
2234,GABI2234 A. Gabinius (11) A. f. - n.,Gabinius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4306
2241,PORC2241 M. Porcius (16) M. f. M. n. Pap. Cato (Uticensis),Porcius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3883
2241,PORC2241 M. Porcius (16) M. f. M. n. Pap. Cato (Uticensis),Porcius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4260
2250,MANL2250 A.? Manlius (76) A. f. Torquatus,Manlius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4923
2253,POMP2253 Cn. Pompeius (32) Cn. f. Cn. n. Magnus,Pompeius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4058
2254,POMP2254 Sex. Pompeius (33) Cn. f. Cn. n. Magnus Pius,Pompeius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3902
2260,"MANI2260 C. Manilius (10, cf. 23) (Crispus)",Manilius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4089
2261,MEMM2261 C. Memmius (8),Memmius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3920
2262,AEMI2262 M. Aemilius (141) M. f. M. n. Scaurus,Aemilius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3908
2264,DOMI2264 L. Domitius (27) Cn. f. Cn. n. Fab. Ahenobarbus,Domitius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4012
2272,CALP2272 M. Calpurnius (28) C. f. Bibulus,Calpurnius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3890
2274,CALP2274 Cn. Calpurnius (69) Piso,Calpurnius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4767
2291,AMPI2291 T. Ampius (1) T. f. Hor. Balbus,Ampius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4064
2293,SERV2293 P. Servilius (80) M. f. Rullus,Servilius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4092
2294,ATIL2294 Sex. Atilius (70) Serranus Gavianus,Atilius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3981
2296,SEST2296 P. Sestius (6) L. f. Col.,Sestius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4063
2296,SEST2296 P. Sestius (6) L. f. Col.,Sestius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4075
2297,VATI2297 P. Vatinius (3) P. f. Ser.,Vatinius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4062
2297,VATI2297 P. Vatinius (3) P. f. Ser.,Vatinius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4143
2297,VATI2297 P. Vatinius (3) P. f. Ser.,Vatinius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4783
2300,CORN2300 Faustus Cornelius (377) L. f. L. n. Sulla,Cornelius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3934
2303,MARC2303 L. Marcius (76) L. f. Q. n. Philippus,Marcius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3884
2312,PLAN2312 Cn. Plancius (4) Ter.,Plancius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4926
2324,ALLI2324 A. Allienus (1),Allienus,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4719
2325,AELI2325 L. Aelius (150) Tro. Tubero,Aelius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4010
2328,LICI2328 M. Licinius (56) M. f. P. n. Crassus,Licinius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4762
2329,ATIU2329 M. Atius (Attius 11) Hor. Balbus,Atius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4184
2341,AEMI2341 M. Aemilius (73) M. f. Q. n. Lepidus,Aemilius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3901
2341,AEMI2341 M. Aemilius (73) M. f. Q. n. Lepidus,Aemilius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3924
2347,CAEC2347 Q. Caecilius (99) Q. f. Q. n. Fab. Metellus Pius Scipio = P. Cornelius (352) Scipio Nasica,Caecilius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4262
2366,CALP2366 C. Calpurnius (93) L. f. Piso Frugi,Calpurnius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3928
2370,PEDI2370 Q. Pedius (1) M. f.,Pedius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4249
2372,LICI2372 P. Licinius (63) M. f. (P.? n.) Crassus,Licinius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3882
2381,ANNI2381 T. Annius (67) Mae. Milo = T. Papius Milo,Annius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3920
2392,ANTO2392 M. Antonius (30) M. f. M. n.,Antonius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3893
2392,ANTO2392 M. Antonius (30) M. f. M. n.,Antonius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3909
2392,ANTO2392 M. Antonius (30) M. f. M. n.,Antonius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4015
2392,ANTO2392 M. Antonius (30) M. f. M. n.,Antonius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4110
2392,ANTO2392 M. Antonius (30) M. f. M. n.,Antonius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4722
2394,CORN2394 P. Cornelius (239) P. f. Lentulus Spinther,Cornelius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3988
2396,CLAU2396 C. Claudius (216) C. f. M. n. Marcellus,Claudius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3909
2430,SULP2430 P. Sulpicius (93) P. f. Rufus,Sulpicius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3894
2433,SERV2433 P. Servilius (67) P. f. C. n. Isauricus,Servilius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3973
2443,SCRI2443 C. Scribonius (11) C. f. C. n. Curio,Scribonius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3893
2457,LUCI2457 C. Lucilius (25) C. f. Pup. Hirrus,Lucilius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4354
2458,CASS2458 C. Cassius (59) Longinus,Cassius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3963
2459,IUNI2459 M. Iunius (53) M. f. Brutus = Q. Servilius Caepio Brutus,Iunius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3890
2459,IUNI2459 M. Iunius (53) M. f. Brutus = Q. Servilius Caepio Brutus,Iunius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4008
2489,"IUNI2489 D. Iunius (55a, Supb. 5.369) D. f. D. n. Brutus Albinus",Iunius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4070
