
personid,spouseid
1090,4806
1134,4201
1182,3946
1222,4216
1396,4228
1406,4669
142,5019
1429,4022
1433,4020
1452,4288
1500,3996
1504,4091
1523,3915
1525,3864
1565,3996
1596,4245
1598,3862
1598,3863
1613,3969
1615,4235
1645,3929
1650,4032
1651,4293
1660,3948
1662,4023
1670,3960
1679,4031
1695,4029
1716,3960
1731,3919
1731,4156
1746,4282
1746,4285
1746,4287
1746,4286
1746,3929
1756,4172
1759,3947
1767,4207
1780,3999
1786,4820
1795,3967
1796,3949
1799,4258
1802,4085
1806,3949
1807,4052
1822,4191
1825,3993
1835,4059
1836,4030
1871,4359
1876,4295
1882,4761
1902,4049
1902,3883
1903,3958
1903,4097
1932,4278
1957,3877
1957,3873
1957,3876
1963,4353
1967,4147
1973,3870
1974,4359
1976,3937
1976,3908
1976,4277
1976,3882
1976,3874
1981,4267
1983,4005
1991,4236
1992,4914
1993,4242
1998,3879
1998,4105
2011,4059
2012,3878
2020,3968
2020,4062
2021,4077
2023,3960
2023,4269
2040,4043
2072,3940
2072,4004
2077,3878
2077,4083
2082,3906
2088,3984
2104,3884
2104,4252
2107,4191
2117,3933
2119,3937
2120,3870
2140,4765
2140,3992
2142,3961
2151,4197
2168,3927
2196,2197
2197,2196
2216,3966
2219,3893
2219,4053
2234,4306
2241,4260
2241,3883
2250,4923
2253,4058
2254,3902
2260,4089
2261,3920
2262,3908
2264,4012
2272,3890
2274,4767
2291,4064
2293,4092
2294,3981
2296,4063
2296,4075
2297,4783
2297,4143
2297,4062
2300,3934
2303,3884
2312,4926
2324,4719
2325,4010
2328,4762
2329,4184
2341,3924
2341,3901
2347,4262
2366,3928
2370,4249
2372,3882
2381,3920
2392,4722
2392,4110
2392,4015
2392,3893
2392,3909
2394,3988
2396,3909
2430,3894
2433,3973
2443,3893
2457,4354
2458,3963
2459,4008
2459,3890
2489,4070
2495,3962
2499,3928
2515,3928
2515,4069
2520,4312
2534,4830
254,291
2553,4742
2560,3900
2571,4192
2597,4192
2597,3906
2597,4190
2598,4357
2639,4851
2663,3934
2664,3906
2709,4774
2739,4776
2758,4248
2758,4766
2758,3940
2781,3895
2802,4825
2808,3980
2808,4254
2808,4174
2821,4341
2834,3953
2895,4255
2895,4729
2895,4730
291,254
2927,4733
2931,4735
2970,4710
2973,4054
2981,4364
3037,4251
3080,4939
3201,4009
3203,4352
3221,4089
3304,4164
3780,4759
3836,3898
3861,703
3862,1598
3863,1598
3864,1525
3866,3867
3867,3866
3870,2120
3870,1973
3873,1957
3874,1976
3876,1957
3877,1957
3878,2077
3878,2012
3879,1998
3880,4547
3882,1976
3882,2372
3883,1902
3883,2241
3884,2303
3884,2104
3885,4308
3885,3886
3886,3885
3890,2459
3890,2272
3893,2443
3893,2219
3893,2392
3894,2430
3895,2781
3898,3836
3900,2560
3901,2341
3902,2254
3903,4255
3906,2664
3906,2082
3906,4863
3906,2597
3907,4109
3908,1976
3908,2262
3909,2392
3909,2396
3911,4174
3912,4737
3913,4304
3914,4194
3915,1523
3917,4289
3919,1731
3920,2381
3920,2261
3924,2341
3927,2168
3928,2499
3928,2366
3928,2515
3929,1746
3929,1645
3933,2117
3934,2663
3934,2300
3937,1976
3937,2119
3939,4784
3940,2758
3940,2072
3943,4350
3944,907
3945,878
3946,1182
3947,1759
3948,1660
3949,1806
3949,1796
3950,4179
3950,4174
3951,3952
3952,3951
3953,2834
3958,1903
3960,2023
3960,1670
3960,1716
3961,2142
3962,2495
3963,2458
3964,3965
3965,3964
3966,2216
3967,1795
3968,2020
3969,1613
3971,4283
3973,2433
3976,4320
3980,2808
3981,2294
3984,2088
3988,4208
3988,2394
3990,3991
3991,3990
3992,2140
3993,1825
3994,3995
3995,3994
3996,1565
3996,1500
3999,1780
4000,4267
4004,2072
4005,1983
4008,2459
4009,4902
4009,3201
4010,2325
4011,4786
4012,2264
4013,4014
4014,4013
4015,2392
4020,1433
4022,1429
4023,1662
4026,4027
4027,4026
4029,1695
4030,1836
4031,1679
4032,1650
4035,4922
4036,4047
4043,2040
4047,4036
4049,1902
4052,1807
4053,2219
4054,2973
4056,4787
4058,2253
4059,2011
4059,1835
4062,2020
4062,2297
4063,2296
4064,2291
4068,5161
4069,2515
4070,2489
4075,2296
4077,2021
4078,4093
4083,2077
4085,1802
4086,4087
4087,4086
4089,3221
4089,2260
4091,1504
4092,2293
4093,4078
4097,1903
4098,4099
4099,4098
4101,4307
